district,mandal,revenue_division
"Guntur district","Mangalagiri mandal","Guntur revenue division"
"Guntur district","Medikonduru mandal","Guntur revenue division"
"Guntur district","Nadendla mandal","Guntur revenue division"
"Guntur district","Nizampatnam mandal","Repalle revenue division"
"Guntur district","Parchur mandal","Bapatla revenue division"
"Guntur district","Pedakakani mandal","Guntur revenue division"
"Guntur district","Pedanandipadu mandal","Guntur revenue division"
"Guntur district","Phirangipuram mandal","Guntur revenue division"
"Guntur district","Prathipadu mandal","Guntur revenue division"
"Guntur district","Repalle mandal","Repalle revenue division"
"Guntur district","Sangam mandal","Bapatla revenue division"
"Guntur district","Sattenapalle mandal","Guntur revenue division"
"Guntur district","Tadepalle mandal","Tenali revenue division"
"Guntur district","Tenali mandal","Tenali revenue division"
"Guntur district","Thadepalle mandal","Guntur revenue division"
"Guntur district","Thullur mandal","Guntur revenue division"
"Guntur district","Tsundur mandal","Repalle revenue division"
"Guntur district","Vemuru mandal","Repalle revenue division"
"Guntur district","Vetapalem mandal","Guntur revenue division"
"Krishna district","A.Konduru mandal","Vijayawada revenue division"
"Krishna district","Agiripalle mandal","Vijayawada revenue division"
"Krishna district","Avanigadda mandal","Machilipatnam revenue division"
"Krishna district","Bantumilli mandal","Machilipatnam revenue division"
"Krishna district","Bapulapadu mandal","Vijayawada revenue division"
"Krishna district","Chandarlapadu mandal","Vijayawada revenue division"
"Krishna district","G.Konduru mandal","Vijayawada revenue division"
"Krishna district","Gampalagudem mandal","Vijayawada revenue division"
"Krishna district","Gannavaram mandal","Vijayawada revenue division"
"Krishna district","Gudivada mandal","Gudivada revenue division"
"Krishna district","Gudlavalleru mandal","Gudivada revenue division"
"Krishna district","Guduru mandal","Gudivada revenue division"
"Krishna district","Ibrahimpatnam mandal","Vijayawada revenue division"
"Krishna district","Jaggayyapeta mandal","Vijayawada revenue division"
"Krishna district","Kanchikacherla mandal","Vijayawada revenue division"
"Krishna district","Kankipadu mandal","Vijayawada revenue division"
"Krishna district","Kaikalur mandal","Gudivada revenue division"
"Krishna district","Koduru mandal","Vijayawada revenue division"
"Krishna district","Kruthivennu mandal","Machilipatnam revenue division"
"Krishna district","Machilipatnam mandal","Machilipatnam revenue division"
"Krishna district","Mopidevi mandal","Machilipatnam revenue division"
"Krishna district","Movva mandal","Gudivada revenue division"
"Krishna district","Mudinepalle mandal","Vijayawada revenue division"
"Krishna district","Musunuru mandal","Vijayawada revenue division"
"Krishna district","Nagayalanka mandal","Machilipatnam revenue division"
"Krishna district","Nandigama mandal","Vijayawada revenue division"
"Krishna district","Nandivada mandal","Gudivada revenue division"
"Krishna district","Nuzvid mandal","Vijayawada revenue division"
"Krishna district","Pamarru mandal","Gudivada revenue division"
"Krishna district","Pedana mandal","Machilipatnam revenue division"
"Krishna district","Penamaluru mandal","Vijayawada revenue division"
"Krishna district","Penuganchiprolu mandal","Vijayawada revenue division"
"Krishna district","Reddigudem mandal","Vijayawada revenue division"
"Krishna district","Thotlavalluru mandal","Vijayawada revenue division"
"Krishna district","Tiruvuru mandal","Vijayawada revenue division"
"Krishna district","Unguturu mandal","Vijayawada revenue division"
"Krishna district","Vatsavai mandal","Vijayawada revenue division"
"Krishna district","Veerullapadu mandal","Vijayawada revenue division"
"Krishna district","Vijayawada mandal","Vijayawada revenue division"
"Krishna district","Vissannapeta mandal","Vijayawada revenue division"
"Krishna district","Vuyyuru mandal","Gudivada revenue division"
"Kurnool district","Adoni mandal","Adoni revenue division"
"Kurnool district","Alur mandal","Adoni revenue division"
"Kurnool district","Aspari mandal","Adoni revenue division"
"Kurnool district","Atmakur mandal","Kurnool revenue division"
"Kurnool district","Banaganapalle mandal","Nandyal revenue division"
"Kurnool district","Bandi Atmakur mandal","Kurnool revenue division"
"Kurnool district","Chagalamarri mandal","Nandyal revenue division"
"Kurnool district","C.Belagal mandal","Kurnool revenue division"
"Kurnool district","Devanakonda mandal","Adoni revenue division"
"Kurnool district","Devaraopet mandal","Kurnool revenue division"
"Kurnool district","Dhone mandal","Nandyal revenue division"
"Kurnool district","Gadivemula mandal","Nandyal revenue division"
"Kurnool district","Gonegandla mandal","Nandyal revenue division"
"Kurnool district","Gudur mandal","Kurnool revenue division"
"Kurnool district","Halaharvi mandal","Kurnool revenue division"
"Kurnool district","Holagunda mandal","Kurnool revenue division"
"Kurnool district","Jupadu Bungalow mandal","Kurnool revenue division"
"Kurnool district","Kallur mandal","Nandyal revenue division"
"Kurnool district","Kodumur mandal","Kurnool revenue division"
"Kurnool district","Koilkuntla mandal","Nandyal revenue division"
"Kurnool district","Kolimigundla mandal","Nandyal revenue division"
"Kurnool district","Kosigi mandal","Adoni revenue division"
"Kurnool district","Kothapalle mandal","Kurnool revenue division"
"Kurnool district","Kowthalam mandal","Adoni revenue division"
